¿Cual es el nombre de la unidad educativa en la que enseña?.;¿Cuantos años tiene?.;¿Cuantos años de experiencia como maestro tiene?.;¿Que materias imparte en su colegio?.;¿Su colegio cuenta con servicio a internet?.;¿Su colegio cuenta con un aula computacional?.;Marque los requerimientos que cree que hacen falta en su colegio.;Las clases que imparte en aula son:;Permite el uso de celular en clase con fines educativos.;Mencione que red social utiliza con frecuencia para fines académicos (Ejemplo: Facebook, WhatsApp,Telegram, Twitter, Instagram, TikTok, etc.) Mencione uno.;Tiene conocimientos sobre herramientas de Tecnologías de Información y Comunicación (TIC).;¿Que herramienta de enseñanza usa para sus clases constantemente? (ejemplo: Zoom, Clasroom, Moodle,Meet,Canva,etc). Mencione una herramienta.;De que forma aprendio a utilizar las herramientas de Tecnologías de Información y comunicación (TIC).;Con que frecuencia utiliza las herramientas de tecnologías de Información y Comunicación (TIC).;El uso de las tecnologias de Información y Comunicación (TIC) mejoró el aprendizaje en sus estudiantes.;Desearia tener capacitaciones regularmente sobre el uso correcto de Tecnoligías de Información y Comunicación (TIC).;Como califica sus conocimientos básico de ofimática (manejo de Word, Excel, Power Point, etc);Como califica sus conocimientos básicos de informartica (instalar y configurar programas tanto en computadoras y celulares, tranferir archivos entre computadoras y celulares y conexiones a redes wifi).
Unidad Educativa Americano;40;8 años;Computación;Si;Si;"herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico;Laboratorios";No;WhatsApp;Si;Meet;Cursos particulares;Siempre;Si;Si;Bueno;Bueno
San Francisco II;65;30;Matematica;No;No;Acceso a internet en todas las aulas.;Práctico;No;WhatdsApp;Si;Ninguna;Capacitacion realizadas por el gobierno;Ocasionalmente;Si;Si;Regular;Regular
Nuestra Señor del Pilar;40;10;Filosofia;Si;Si;Acceso a internet en todas las aulas.;Práctico;Si;Telegram;Si;Clasroom y meet;Empiricamente;Ocasionalmente;Si;Si;Bueno;Bueno
Nuestra señora del Pilar;47;23;Sociales;Si;Si;"Acceso a internet en todas las aulas.;Bibliotecas digital";Teórico;Si;Telegran;Si;Classmoron meet zoom;Capacitacion realizadas por el gobierno;Ocasionalmente;Si;Si;Regular;Regular
Nuestra Señora Del Pilar;50;26 años;Quimica y Biologia;Si;Si;Bibliotecas digital;"Teórico;Práctico";Si;;Si;Meet;Empiricamente;Ocasionalmente;Si;Si;Bueno;Regular
Vecinal C;70;37;Primaria EFI;No;No;Aula computacional.;Práctico;No;WhatsApp;Si;Zoom;Cursos particulares;Ocasionalmente;Si;Si;Regular;Regular
Americano vecinal C;55;30;Primero;Si;Si;Aula computacional.;"Teórico;Práctico;Talleres;Excusiones con motivos académicos";No;Facebook;Si;Zoom;Cursos particulares;Siempre;Si;Si;Bueno;Bueno
Americano Vecinal C;43;21;Lenguaje y Ciencias Sociales;No;Si;"Computadoras para los estudiantes.;Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico";No;WhatsApp;Si;Classroom;Capacitacion realizadas por el gobierno;Ocasionalmente;Si;Talvez;Bueno;Bueno
Americano Vecinal C;50;15;Primaria;No;Si;"Computadoras para los estudiantes.;Aula computacional.;Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico";No;You tobe;Si;Meet;Cursos particulares;Siempre;Si;Si;Bueno;Bueno
Americano Vecnal C;51;23;Primaria;No;No;"Computadoras para los estudiantes.;Aula computacional.;Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";Teórico;No;WhatsApp;Si;Classroom;Empiricamente;Ocasionalmente;Si;Si;Regular;Malo
Nuestra Señora del Pilar;26;18;Biología y Quimica;Si;Si;"herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico;Laboratorios";Si;WhatsApp, Telegram;Si;Clasroom, zoom, meet;Cursos particulares;Siempre;Si;Si;Bueno;Regular
